run_id,timestamp_utc,git_commit,git_dirty,kernel_ref,kernel_version,description,notebook_runtime_sec,n_features,n_folds,cv_seed,fold_auc_mean,fold_auc_std,final_oof_auc,public_lb_score,private_lb_score,preds_dir,best_iters,fold_aucs,model_seed,te_cols,engineered,run_tag,lgb_oof_auc,learner,xgb_oof_auc,cat_oof_auc,emb_oof_auc,ebm_oof_auc,tabicl_oof_auc,lgb_hpo_oof_auc,notes
089a69d3,2026-09-03T01:03:53+00:00,dad86b8798c2eacafb8e9b2be0dadd24d1779398,True,local,,"B7: more capacity, slower learning rate (255 leaves, lr 0.02, min_child 100)",74.7,13.0,5,42,0.941541,0.000763,0.940766,,,experiments/preds/089a69d3,450 188 415 163 378,0.940326 0.941221 0.942595 0.942009 0.941555,42.0,,,B7,0.940766,,,,,,,,"HYPOTHESIS: A0's parameters were never tuned - they were a first guess, and it early-stopped at 213-381 iterations, which is fast enough to suggest it saturates before exhausting the data. MECHANISM: 668k rows can support far more capacity than 63 leaves; a lower LR with more regularization should reach a finer per-feature shape. This sizes how much of the 0.0048 gap to the public top is plain tuning. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
6d572c32,2026-09-03T01:06:35+00:00,3a5be259473284e2d68c537ba5935386edc2795a,False,local,,"C1: hierarchical TE - rare values back off to their income neighborhood, not the global prior",34.5,16.0,5,42,0.945199,0.000605,0.945166,,,experiments/preds/6d572c32,184 182 229 113 237,0.944296 0.94486 0.946095 0.945505 0.945236,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,C1,0.945166,,,,,,,,"HYPOTHESIS: the biggest single win available on top of B5. MECHANISM: income carries a REAL monotone trend underneath the lookup (Spearman(value, per-value rate)=0.68). B5 shrinks a value seen 3 times toward the global prior 0.1746, discarding that trend entirely; a value at income 160k seen 3 times should shrink toward the ~0.34 rate of its neighbourhood instead. With 13,214 values over 668k rows the tail of rare values is where most of the encoding error lives, so fixing the backoff target should be worth more than fixing the smoothing strength. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
e233ae99,2026-09-03T01:07:08+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,C2: te_smooth 20 -> 5 (trust rare values more),30.1,16.0,5,42,0.945235,0.000587,0.945225,0.94549,,experiments/preds/e233ae99,210 176 257 151 182,0.94442 0.944835 0.94614 0.945517 0.945262,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,C2,0.945225,,,,,,,,"HYPOTHESIS: B5's smoothing was an untested default. MECHANISM: smoothing trades lookup fidelity against noise in rare values. If the lookup is strong and the per-value counts are large (mean ~50 rows/value), less smoothing should recover more of it. Paired with C3 this brackets the optimum rather than testing one arbitrary point. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
b3bdbd51,2026-09-03T01:07:44+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,C3: te_smooth 20 -> 100 (trust rare values less),33.8,16.0,5,42,0.944088,0.000606,0.944071,,,experiments/preds/b3bdbd51,266 222 154 217 365,0.943179 0.943741 0.944993 0.94433 0.944198,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,C3,0.944071,,,,,,,,"HYPOTHESIS: the other bracket of C2. MECHANISM: if C3 beats B5 the encoding is currently overfitting rare values; if C2 beats B5 it is over-shrinking them. Both losing means 20 was already near-optimal and the smoothing axis is closed. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
e1bf1db7,2026-09-03T01:08:15+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,C4: add log1p(train-fold value count) alongside each TE column,27.6,19.0,5,42,0.945247,0.000583,0.945194,,,experiments/preds/e1bf1db7,205 107 124 106 156,0.944462 0.944824 0.946142 0.945572 0.945236,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,C4,0.945194,,,,,,,,"HYPOTHESIS: the model cannot currently tell a TE built from 1,000 rows from one built from 3. MECHANISM: the count is the encoding's own reliability, so handing it over lets the tree discount unreliable TE values in exactly the region where the encoding is worst. This is the cheap alternative to fixing the backoff (C1) and the two may be redundant - if both win, test them together before shipping both. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
56395cbf,2026-09-03T01:09:10+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,C5: capacity 63 -> 15 leaves,52.0,16.0,5,42,0.944957,0.000596,0.94495,,,experiments/preds/56395cbf,668 783 609 732 739,0.944076 0.944649 0.945868 0.945226 0.944968,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,C5,0.94495,,,,,,,,"HYPOTHESIS: LOWER capacity should win, which is the opposite of the usual reflex. MECHANISM: two measurements point the same way - the GLM probe found all 28 pairwise interactions worth +0.000033, and B7 found that RAISING capacity to 255 leaves cost -0.000894. With a genuinely additive generator, extra leaves can only fit interactions that do not exist, which is pure variance. Now that TE has moved the per-value signal into the feature itself, the tree needs even less depth to reach it. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
b8bb3cf0,2026-09-03T01:10:28+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,C6: capacity 63 -> 7 leaves,75.5,16.0,5,42,0.945011,0.000617,0.945006,,,experiments/preds/b8bb3cf0,1195 1250 1125 1447 1263,0.944133 0.944647 0.945984 0.94524 0.945052,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,C6,0.945006,,,,,,,,"HYPOTHESIS: C5 pushed further, to bracket the capacity optimum rather than testing one point. MECHANISM: as C5. If C6 > C5 > B5 the trend is monotone toward an additive model and the next probe is stumps (num_leaves=2), which is a GAM. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
301937a7,2026-09-03T01:11:09+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,C7: extend TE to all 7 numeric columns,37.9,20.0,5,42,0.94469,0.0006,0.944663,,,experiments/preds/301937a7,213 258 335 118 287,0.943819 0.944394 0.945639 0.944917 0.944682,42.0,"Annual_Income_USD,Daily_Commute_km,Age,Charging_Stations_Near_Home,Charging_Stations_Near_Work,Number_of_Cars_Owned,Environmental_Concern_Level",,C7,0.944663,,,,,,,,"HYPOTHESIS: expected null, run as a control. MECHANISM: the 4 added columns have 4-20 distinct values each, and LightGBM's 255-bin histogram already resolves them exactly - there is no lookup structure a TE can reveal that a split cannot already reach. If this WINS, the mechanism is not resolution but something else (e.g. TE giving the tree a pre-ordered axis), and that would change what C5/C6 mean. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
4aeafc72,2026-09-03T01:12:42+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,D1: te_smooth 5 -> 2,38.5,16.0,5,42,0.945364,0.000589,0.945348,,,experiments/preds/4aeafc72,266 217 222 136 297,0.944522 0.944989 0.94627 0.945604 0.945438,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,D1,0.945348,,,,,,,,"HYPOTHESIS: the smoothing bracket is monotone and has not turned over yet - 100 gave -0.000667, 20 is the B5 baseline, 5 gave +0.000487. MECHANISM: at ~50 rows per income value the per-value rate is already well estimated, so shrinkage is mostly discarding signal rather than controlling noise. Push until it turns over; the turnover point is the answer, a single tested point is not. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
c46b9625,2026-09-03T01:13:23+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,D2: C2 + hierarchical neighborhood backoff (C1 stacked on C2),37.0,16.0,5,42,0.945414,0.000609,0.945402,,,experiments/preds/c46b9625,215 219 196 146 183,0.94452 0.945046 0.946326 0.945701 0.945479,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,D2,0.945402,,,,,,,,"HYPOTHESIS: C1 gave +0.000428 on top of B5 (smooth=20). MECHANISM: backoff target and smoothing STRENGTH are two ways to fix the same problem - an unreliable rare-value estimate. C2 already fixed part of it by shrinking less. If D2's delta over C2 is much smaller than C1's over B5, they are redundant and only one should ship; if it holds up, they address different parts of the rare-value tail and both belong. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
8ab85ae5,2026-09-03T01:13:57+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,D3: C2 + value-count feature (C4 stacked on C2),31.8,19.0,5,42,0.945322,0.000614,0.945277,,,experiments/preds/8ab85ae5,215 112 151 107 129,0.944462 0.944901 0.946261 0.945606 0.945381,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,D3,0.945277,,,,,,,,"HYPOTHESIS: C4 gave +0.000456 on top of B5. MECHANISM: as D2 - the count is a third route to the same rare-value problem, and it is the most general of the three because it lets the tree decide how to discount rather than fixing the discount in advance. Same redundancy test. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
4ed16785,2026-09-03T01:15:13+00:00,3a5be259473284e2d68c537ba5935386edc2795a,True,local,,D4: C2 + 7 leaves (C6 stacked on C2),72.5,16.0,5,42,0.945446,0.000636,0.945437,0.94566,,experiments/preds/4ed16785,1186 1526 1523 590 646,0.944564 0.945129 0.946495 0.945651 0.945389,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,D4,0.945437,,,,,,,,"HYPOTHESIS: capacity is monotone downward - 255 leaves -0.000894, 63 baseline, 15 +0.000212, 7 +0.000268. MECHANISM: the generator is additive (all 28 pairwise interactions worth +0.000033), so leaves beyond what the per-feature shapes need can only fit interactions that do not exist. Unlike the encoder fixes this axis is ORTHOGONAL to the TE, so it should stack cleanly rather than redundantly. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
a51036d1,2026-09-03T01:17:04+00:00,cf4f2cae7544b8e459e3a6a7fcafeb2ac1102c6a,False,local,,D5: C2 + 3 leaves (one step from stumps),108.5,16.0,5,42,0.945441,0.000636,0.945437,,,experiments/preds/a51036d1,1891 2814 2409 1415 1569,0.944535 0.945102 0.946457 0.945675 0.945438,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,D5,0.945437,,,,,,,,"HYPOTHESIS: D4 pushed one step further, to find where the capacity bracket turns over. MECHANISM: num_leaves=3 permits a depth-2 interaction at most; num_leaves=2 would be stumps, i.e. a literal GAM with no interactions at all. If D5 >= D4 the additive reading is confirmed to its limit and stumps are the next probe. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
1e2681aa,2026-09-03T03:15:01+00:00,cf4f2cae7544b8e459e3a6a7fcafeb2ac1102c6a,True,local,,E1: D4 + neighborhood backoff (the two winning axes combined),143.9,16.0,5,42,0.94565,0.000652,0.945642,0.94586,,experiments/preds/1e2681aa,1046 1098 972 777 1098,0.944717 0.945267 0.946656 0.945962 0.945649,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,E1,0.945642,,,,,,,,"HYPOTHESIS: this should stack close to additively, unlike C1/C2/C4 which did not. MECHANISM: the encoder axis (what a rare value shrinks toward) and the capacity axis (how many interactions the tree may fit) address different error sources - encoding bias vs interaction variance - so unlike the three encoder fixes they are not three routes to one problem. If the combined delta is materially less than +0.000177+0.000212, that reading is wrong. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
db97f8c1,2026-09-03T03:17:24+00:00,6bf94f0ddd919ecf7f00173d2fcd392c01b7c123,False,local,,E2: D4 with te_smooth 5 -> 2,140.3,16.0,5,42,0.945562,0.000665,0.945554,,,experiments/preds/db97f8c1,1046 1354 1142 773 857,0.944644 0.945151 0.946625 0.945825 0.945563,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,E2,0.945554,,,,,,,,"HYPOTHESIS: D1 found +0.000123 for this step at 63 leaves. MECHANISM: at lower capacity the tree can no longer partially correct a noisy encoding by splitting around it, so the optimal smoothing may be HIGHER, not lower, than it was at 63 leaves. This probe tests whether the smoothing optimum moved when capacity changed - if it did, the two axes are not separable and E1's premise is weakened. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
5400812e,2026-09-03T03:20:10+00:00,6bf94f0ddd919ecf7f00173d2fcd392c01b7c123,True,local,,E3: average the training-row TE over 4 independent inner splits,161.9,16.0,5,42,0.945424,0.000597,0.945418,,,experiments/preds/5400812e,1053 1201 923 776 1417,0.94456 0.945066 0.946348 0.945638 0.945508,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,E3,0.945418,lgb,,,,,,,"HYPOTHESIS: the headline variance-reduction probe. MECHANISM: a training row's TE is built from 4/5 of the fold, and WHICH 4/5 is an arbitrary draw that injects noise into the feature the model leans on hardest. Averaging over 4 draws cancels it without weakening the leakage guarantee - every draw still excludes the row's own label. If the competition is now a variance problem rather than a signal problem, this is where it shows. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
c6fc1508,2026-09-03T03:25:47+00:00,,False,local,,E4: XGBoost leg on the D4 representation,333.9,16.0,5,42,0.945517,0.000646,0.945511,,,experiments/preds/c6fc1508,988 1446 1553 1072 1325,0.944559 0.945186 0.946517 0.945756 0.94557,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,E4d,,xgb,0.945511,,,,,,"POOL MEMBER, not an ablation. MECHANISM: same features, different split-finding and regularization, so its errors should point somewhere slightly different from LightGBM's. Judged by ADD/SWAP contribution to the stack, never by solo score - S6E8 measured solo deltas spanning 0.033 AUC while the corresponding stack contributions spanned 0.00006. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
2b471d6b,2026-09-03T03:30:30+00:00,,False,local,,E4: XGBoost leg on the E1 representation,386.3,16.0,5,42,0.945694,0.000665,0.945689,0.94588,,experiments/preds/2b471d6b,893 1063 1028 1117 1091,0.944716 0.945366 0.946709 0.946027 0.945653,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,E4,,xgb,0.945689,,,,,,"POOL MEMBER, judged by ADD/SWAP contribution to the stack, never by solo score - S6E8 measured solo deltas spanning 0.033 AUC against stack contributions spanning 0.00006. MECHANISM: same features, different split-finding and regularization, so its errors should point somewhere slightly different from LightGBM's. Both are leaf-wise here (grow_policy=lossguide, max_leaves=7), so expect HIGH correlation with E1 - this leg's value, if any, is in the residual disagreement a fitted stack can subtract, not in diversity of inductive bias."
f77b0de3,2026-09-03T03:51:24+00:00,46e370df4df105171bfd8e20c5d7c65d0dcafb07,True,local,,E5: CatBoost leg on the E1 representation (symmetric trees),1249.3,16.0,5,42,0.945653,0.000602,0.945648,,,experiments/preds/f77b0de3,374 449 466 336 420,0.944796 0.945298 0.946576 0.945967 0.945626,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,E5,,cat,,0.945648,,,,,"POOL MEMBER, judged by ADD/SWAP contribution to the stack, never by solo score - S6E8 measured solo deltas spanning 0.033 AUC against stack contributions spanning 0.00006. MECHANISM: CatBoost's oblivious trees apply the SAME split at every node of a level - a strong structural regularizer and a genuinely different inductive bias from leaf-wise LightGBM, which is the kind of difference a fitted stack can use to subtract correlated error. This is the most promising pool member for that reason. 3000 iterations at lr 0.08 for CPU wall-clock; depth is CatBoost's default 6, so unlike E1/E4 it is NOT capacity-matched - a confound accepted because this is a pool member, not a twin."
006a2f50,2026-09-03T03:57:00+00:00,46e370df4df105171bfd8e20c5d7c65d0dcafb07,True,local,,E5: CatBoost leg on the D4 representation (symmetric trees),1869.1,16.0,5,42,0.945468,0.000589,0.945464,,,experiments/preds/006a2f50,852 595 653 867 795,0.944644 0.94507 0.946379 0.945717 0.945531,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,E5,,cat,,0.945464,,,,,"POOL MEMBER, not an ablation. MECHANISM: CatBoost's oblivious/symmetric trees apply the SAME split at every node of a level, which is a strong structural regularizer and a genuinely different inductive bias from leaf-wise LightGBM - exactly the kind of difference that can subtract correlated error in a fitted stack. Iterations reduced to 4000 for CPU wall-clock; it is a pool member so this is not a twin violation. GATE: +0.0001 OOF (interim, ~2.6x the 0.000038 seed-noise floor)."
75a80fda,2026-09-03T12:01:46+00:00,46e370df4df105171bfd8e20c5d7c65d0dcafb07,True,local,,"F1: income ALSO as a native LightGBM categorical, alongside its TE",70.5,17.0,5,42,0.944654,0.000677,0.944643,,,experiments/preds/75a80fda,182 209 182 181 183,0.943556 0.944463 0.945629 0.94497 0.944653,42.0,"Annual_Income_USD,Daily_Commute_km,Age",cat_Annual_Income_USD,F1,0.944643,lgb,,,,,,,"HYPOTHESIS: the cheap test of the 'tokens' idea the public frontier is using (top notebooks: 'EV Adoption Tokens: XGBoost + TinyTokenTransformer', '94.6+ Transformer and GBDT Ensemble'). MECHANISM: TE compresses each of 13,214 income values to ONE number, its target rate. That is a rank-1 summary of the value's identity. LightGBM's categorical split instead sorts levels by accumulated gradient/hessian at each node and cuts the sorted order, so the grouping can DIFFER between nodes - a strictly richer use of value identity than a single fixed scalar. If value identity carries anything beyond its marginal rate, this is where it shows on the cheap. GATE: +0.0001 OOF."
adb20025,2026-09-03T12:08:55+00:00,46e370df4df105171bfd8e20c5d7c65d0dcafb07,True,local,,F2: E1 with 3-seed bagging inside each fold,402.9,16.0,5,42,0.945682,0.000643,0.945676,0.94587,,experiments/preds/adb20025,1046 1109 1284 777 1268,0.944751 0.945332 0.946683 0.945959 0.945685,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,F2,0.945676,lgb,,,,,,,"HYPOTHESIS: the second test of the 'this is now a variance problem' reframe, after E3 failed it. MECHANISM: averaging 3 models trained on the SAME rows cancels fitting randomness - row/feature subsampling draws and split tie-breaking - without touching the split. Playbook s6: this is the seed manipulation that paid in S6E7, as opposed to re-running at a new OUTER split seed, which measurably bought nothing because test predictions are already averaged over 5 fold-models. The measured seed-noise floor here is 0.000038, which bounds how much seed-to-seed SCORE variation there is, but not directly how much averaging PREDICTIONS can buy. GATE: +0.0001 OOF."
718b2ed3,2026-09-03T12:10:35+00:00,46e370df4df105171bfd8e20c5d7c65d0dcafb07,,stack,,"logit stack, 6 legs, C=0.1",,,5,42,,,0.945719,0.94588,,experiments/preds/718b2ed3,,,,,,logit_stack,,,,,,,,,Phase 2 first stack: 6 legs. Third test of the variance reframe after E3 and F2 both null.
07e0c389,2026-09-03T12:15:13+00:00,49b16dc6bb3d922a0bb3a50ee510a7397ad72a73,True,local,,G1: token-embedding MLP - value identity as a learned low-rank vector,103.4,16.0,5,42,0.943871,0.000682,0.943401,0.9445,,experiments/preds/07e0c389,4 3 3 3 3,0.942986 0.943464 0.944924 0.944337 0.943647,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,G1,,emb,,,0.943401,,,,"HYPOTHESIS: the regularized form of the token idea, and the first genuinely NEW representation since the TE. MECHANISM: target encoding compresses each of 13,214 income values to ONE scalar, its marginal target rate - a rank-1 summary. An embedding gives each value 16 numbers, so it can carry more about the value than its marginal rate, while weight decay + dropout + low rank stop it memorizing the way F1's free-form categorical split did (-0.000999, best_iter 1000 -> 182). TE features are kept alongside, so this tests whether identity carries anything BEYOND its rate. Judged as a POOL MEMBER: its solo score matters less than whether it decorrelates from the 0.9922-0.9995 pack, which is what the 6-leg stack showed we lack. GATE: solo within ~0.001 of E1 AND OOF-logit correlation vs E1 below 0.99."
a4d64bbd,2026-09-03T12:19:08+00:00,49b16dc6bb3d922a0bb3a50ee510a7397ad72a73,True,local,,"G2: G1 retuned - lower LR, less embedding capacity",104.4,16.0,5,42,0.943619,0.000497,0.943562,,,experiments/preds/a4d64bbd,5 6 6 6 5,0.94294 0.94321 0.944355 0.943846 0.943744,42.0,"Annual_Income_USD,Daily_Commute_km,Age",,G2,,emb,,,0.943562,,,,"HYPOTHESIS: G1's representation is right but its TRAINING was broken, so its solo weakness is not evidence about the idea. MECHANISM: G1 peaked at epoch 3 of a 25-epoch OneCycle schedule, i.e. while the LR was still ramping UP - it found its best point during warmup and then degraded as the LR rose past useful. That is a schedule bug, not a capacity verdict. G2 lowers max_lr 1e-3 -> 3e-4 and matches the schedule length to 15 epochs so the peak is not an artifact of warmup, and cuts per-value capacity (emb_dim 16 -> 8, min_count 5 -> 20) to fight the same memorization that killed F1. GATE: this is a POOL MEMBER - it needs solo >= the 0.945402 pool floor to be able to contribute at all (playbook s6: a leg below the floor contributes nothing however decorrelated), while KEEPING G1s max-corr near 0.95 against a pack whose internal median is 0.9973."
